z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,N2
0.0074048913043478258,-0.71295300686455221,165.44958398796933,2014.1341846965506,0.16246638367528862,0.016051135929702066,0.0027932680456840336,0.00047873268377610908,0.010811876294502133,0.0030429738702285633,0.16790129096196249,4.9393623097629065e-06,0.00012295756718265784,7.4065428307221717e-06,0.0010101440685422111,0.0012242111055427536,0.040013574287799551,0.064684177196588852,1.6733787527920006e-05,0.00030792938043486045,2.3918172776165693e-06,0.69152625709810767
0.0074184782608695647,-0.71373132167421305,164.79286589772911,2006.1676500729607,0.16331324455858232,0.015235433149256778,0.0029874367497685962,0.00062340384496172637,0.011963909098697911,0.0034435210218843569,0.16722948898764084,4.9690535712316413e-06,9.7043498534202634e-05,5.9132927483554965e-06,0.00073121663709900921,0.00088440845740173058,0.038406540012822309,0.064940598281118991,1.5609763722512443e-05,0.00026069292814538713,1.9377947894487792e-06,0.69316787742783659
0.0074320652173913045,-0.71403981115097914,164.13015178088881,1996.9452086429696,0.16426782077954388,0.01440939972946328,0.0031627817467479672,0.00079220691623750682,0.013254123385167307,0.0038501904893731122,0.16643490368469213,4.9542870359653074e-06,7.3168265058997281e-05,4.5084641398676385e-06,0.00051128822191544169,0.00062688618555626924,0.036709596458148502,0.065147696989030252,1.3903926489989031e-05,0.00021230691452638178,1.5008589888007049e-06,0.69479058347742828
0.0074456521739130433,-0.71392149695800922,163.46134519172134,1986.5950239584827,0.1653224589416833,0.013586081895502007,0.0033162102618139113,0.0009816497026975035,0.014686111286127112,0.0042506889185071157,0.16552138416621465,4.9105420368770351e-06,5.2710352060474335e-05,3.2836284781071293e-06,0.00034564977974233159,0.00043625346754129051,0.034948373933482178,0.065294362451693316,1.1800537023539176e-05,0.00016608534045310999,1.1112940276439868e-06,0.69639333244259882
0.0074592391304347822,-0.71343033063246097,162.78638211757047,1975.2756964887833,0.16646701277283873,0.012777657910252002,0.0034459638884830677,0.0011865395150249965,0.01626044238862831,0.004633008794946763,0.16449566065001234,4.8602715626267517e-06,3.6323573570872592e-05,2.2878236658466371e-06,0.00022629725917732487,0.00029828983553911384,0.03315133240095388,0.0653708265333246,9.5378418698430863e-06,0.00012477832963967258,7.8746213565922441e-07,0.69797540552121307
0.007472826086956522,-0.71262470929492461,162.1052359523851,1963.1569964049661,0.16769014846463906,0.011994540768528843,0.0035514668368975704,0.0014007671395460002,0.017974754742987889,0.0049867409354283441,0.16336648584549135,4.8284923490554973e-06,2.3984365250471333e-05,1.5279420587032886e-06,0.00014375320516708096,0.00020050391341777031,0.03134706981915563,0.06536924225027714,7.3465450751434044e-06,9.0091667431323712e-05,5.3485496578232266e-07,0.6995363606759718
0.0074864130434782608,-0.71156117425380272,161.41791842891413,1950.40163905025,0.1689806762103617,0.011244794610660795,0.0036330659200690197,0.0016181264633048529,0.019824127040760378,0.0053039593416252181,0.16214369668242953,4.8379135594835419e-06,1.5188633519300088e-05,9.7935409560748602e-07,8.8668663709604934e-05,0.00013242777669793281,0.029561852999272269,0.065283998584318909,5.3990107138019281e-06,6.2567143825078474e-05,3.4851765344050775e-07,0.70107596134378491
0.0074999999999999997,-0.71028974267560041,160.72447699266033,1937.1523005671638,0.17032858846642543,0.010533924522990876,0.0036917650292755295,0.0018329221237806319,0.021801636644641242,0.0055795428474429715,0.16083741191762974,4.9061484966912959e-06,9.1964050250040527e-06,6.0048412801947099e-07,5.2864497002787891e-05,8.5651637864079031e-05,0.027817876642633799,0.065111768268392239,3.7901572763565303e-06,4.1806381721832656e-05,2.1729235692286959e-07,0.70259411899934121
0.0075271739130434783,-0.70723946211370337,159.31948860352597,1909.5214329122789,0.17317514241731913,0.0092334621737319399,0.0037449590486717675,0.0022414769784040367,0.026127607159358676,0.0060001644729687506,0.15799547533227346,5.2606028323090927e-06,3.2701136528620722e-06,2.204296567586076e-07,1.8931926055476594e-05,3.6029255808202817e-05,0.024493982165320168,0.064503238716907094,1.7446649146200762e-06,1.7721886412906074e-05,8.1876510391056485e-08,0.70557637319652056
0.007554347826086957,-0.70371492374661926,157.89147693502522,1880.9270335632223,0.17618205560518366,0.0081018819734939695,0.0037248219914493372,0.0025988221487702637,0.030857371354199543,0.0062504305996379812,0.15492508974475366,5.8442764096182523e-06,9.8937749582333932e-07,6.9347232097214858e-08,5.9999553318593615e-06,1.3802922164176415e-05,0.021477500736435774,0.063555838512392507,6.8758949426287646e-07,6.4966590113919218e-06,2.6325073359822858e-08,0.70847432648665432
0.0076086956521739134,-0.69546121502942371,154.97019748139348,1821.5844137537363,0.18265889503702956,0.0062810036868180125,0.0035059491804662717,0.0031270458423635216,0.041368312465598571,0.0063108372526055221,0.14821546776491182,7.5316363370065366e-06,1.2543854303758282e-07,9.4249042949407327e-09,8.7377931378687003e-07,2.6787685462400014e-06,0.016385524308896022,0.060728077692215415,1.4395518786165666e-07,1.1405185236261715e-06,3.6313775709555583e-09,0.71406527465339142
0.0076630434782608697,-0.68559309722270745,151.971778583885,1759.4847918955284,0.1898186553016706,0.0048982913264958234,0.0031477023351626911,0.0034040033711949325,0.052714253900342803,0.0059630608785834951,0.14107320405645446,9.4978411588452249e-06,1.5617009064960128e-08,1.2597538731298283e-09,1.3209838330468938e-07,5.3439233247127362e-07,0.012450674818557017,0.056985349137204599,3.8571660771721263e-08,1.9986793374014784e-07,4.7905497070525256e-10,0.71935304004871714
